ID,NIP,Nama,Email,Unit_Kerja,Status,Created_At
100,"74032000000097","Dadap Mandasari","dadap.mandasari.97@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
101,"80072800000098","Mr. Bahuwarna Wasita","bahuwarna.wasita.98@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
102,"73071900000099","Dr. Almira Hassanah","almira.hassanah.99@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
103,"67062700000100","Mrs. Aris Lestari","aris.lestari.100@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
104,"77010800000101","Mrs. Ika Zulaika","ika.zulaika.101@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
105,"93010600000102","Mrs. Ulya Utami","ulya.utami.102@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
106,"70082800000103","Kamila Mandasari","kamila.mandasari.103@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
107,"62112600000104","Prof. Cici Agustina","cici.agustina.104@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
108,"96052100000105","Tania Namaga","tania.namaga.105@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
109,"80020700000106","Mr. Ida Nasyidah","ida.nasyidah.106@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
110,"99082300000107","Prof. Julia Hutagalung","julia.hutagalung.107@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
111,"69121100000108","Bakidin Pratama","bakidin.pratama.108@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
112,"84021500000109","Dr. Dadap Anggraini","dadap.anggraini.109@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
113,"63080900000110","Ajimat Safitri","ajimat.safitri.110@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
114,"87040600000111","Ir. Jati Pudjiastuti","jati.pudjiastuti.111@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
115,"80111200000112","Dr. Icha Suryono","icha.suryono.112@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
116,"79052400000113","Mr. Ajiman Suwarno","ajiman.suwarno.113@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
117,"79100100000114","Mr. Bahuwirya Wahyudin","bahuwirya.wahyudin.114@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
118,"88041200000115","Najwa Firgantoro","najwa.firgantoro.115@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
119,"79091500000116","Gilda Pratiwi","gilda.pratiwi.116@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
120,"66080700000117","Darimin Hartati","darimin.hartati.117@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
121,"83071900000118","Dr. Viktor Ramadan","viktor.ramadan.118@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
122,"74021800000119","Prof. Ridwan Safitri","ridwan.safitri.119@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
123,"94031000000120","Marwata Wahyudin","marwata.wahyudin.120@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
124,"64042700000121","Ir. Indah Riyanti","indah.riyanti.121@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
125,"99051700000122","Koko Purwanti","koko.purwanti.122@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
126,"81050300000123","Mrs. Mustofa Nurdiyanti","mustofa.nurdiyanti.123@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
127,"96092400000124","Mrs. Ega Hariyah","ega.hariyah.124@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
128,"75121700000125","Rahman Putra","rahman.putra.125@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
129,"90070300000126","Ir. Clara Handayani","clara.handayani.126@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
130,"78120900000127","Pranawa Yolanda","pranawa.yolanda.127@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
131,"89022700000128","Ir. Warji Rahmawati","warji.rahmawati.128@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
132,"81100800000129","Mr. Novi Pertiwi","novi.pertiwi.129@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
133,"98031900000130","Dr. Melinda Mardhiyah","melinda.mardhiyah.130@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
134,"96032400000131","Prof. Maria Gunarto","maria.gunarto.131@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
135,"74060600000132","Mr. Galuh Purwanti","galuh.purwanti.132@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
136,"89111900000133","Dr. Ibrani Pudjiastuti","ibrani.pudjiastuti.133@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
137,"67110500000134","Nabila Yuliarti","nabila.yuliarti.134@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
138,"86022700000135","Dr. Satya Halimah","satya.halimah.135@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
139,"60020600000136","Mrs. Galur Hutagalung","galur.hutagalung.136@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
140,"92050300000137","Mr. Prakosa Kuswoyo","prakosa.kuswoyo.137@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
141,"67110300000138","Dr. Tantri Padmasari","tantri.padmasari.138@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
142,"79041500000139","Tiara Winarsih","tiara.winarsih.139@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
143,"71112100000140","Mr. Ajimat Mustofa","ajimat.mustofa.140@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
144,"97052400000141","Rina Pertiwi","rina.pertiwi.141@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
145,"63060500000142","Mr. Kardi Tamba","kardi.tamba.142@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
146,"98071700000143","Ir. Samiah Anggraini","samiah.anggraini.143@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
147,"82031700000144","Ir. Cawuk Pradipta","cawuk.pradipta.144@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
148,"98041600000145","Vivi Suwarno","vivi.suwarno.145@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
149,"85101700000146","Carub Yuniar","carub.yuniar.146@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
150,"70081200000147","Mrs. Wisnu Sitompul","wisnu.sitompul.147@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
151,"85122100000148","Prof. Ilsa Januar","ilsa.januar.148@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
152,"98022400000149","Rafi Sudiati","rafi.sudiati.149@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
153,"78101600000150","Mrs. Irsad Kusmawati","irsad.kusmawati.150@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
154,"99051700000151","Mr. Ade Suwarno","ade.suwarno.151@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
155,"69011500000152","Dr. Ibun Andriani","ibun.andriani.152@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
156,"86080400000153","Dr. Mulyono Adriansyah","mulyono.adriansyah.153@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
157,"64012700000154","Ellis Riyanti","ellis.riyanti.154@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
158,"97120500000155","Dr. Qori Maryadi","qori.maryadi.155@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
159,"95031200000156","Dr. Ajeng Prasetyo","ajeng.prasetyo.156@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
160,"61102600000157","Mrs. Edward Safitri","edward.safitri.157@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
161,"89110600000158","Suci Haryanti","suci.haryanti.158@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
162,"89071500000159","Mrs. Dagel Megantara","dagel.megantara.159@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
163,"63111100000160","Prof. Pangestu Halim","pangestu.halim.160@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
164,"98122300000161","Mrs. Gamani Nurdiyanti","gamani.nurdiyanti.161@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
165,"71032700000162","Mr. Ana Salahudin","ana.salahudin.162@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
166,"88090500000163","Anom Prasasta","anom.prasasta.163@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
167,"98112300000164","Mr. Irwan Handayani","irwan.handayani.164@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
168,"80112500000165","Ir. Kiandra Usada","kiandra.usada.165@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
169,"71072200000166","Ani Suryatmi","ani.suryatmi.166@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
170,"85050400000167","Kala Nugroho","kala.nugroho.167@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
171,"77060500000168","Hasta Riyanti","hasta.riyanti.168@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
172,"86012300000169","Saadat Hidayanto","saadat.hidayanto.169@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
173,"72072000000170","Dr. Malika Anggriawan","malika.anggriawan.170@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
174,"95020200000171","Prof. Purwadi Safitri","purwadi.safitri.171@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
175,"67100700000172","Ir. Vera Palastri","vera.palastri.172@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
176,"91090800000173","Dr. Dina Anggraini","dina.anggraini.173@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
177,"62011800000174","Ir. Cakrawala Nainggolan","cakrawala.nainggolan.174@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
178,"62011500000175","Patricia Halim","patricia.halim.175@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
179,"98080800000176","Rahman Sirait","rahman.sirait.176@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
180,"67122700000177","Ir. Rahmi Santoso","rahmi.santoso.177@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
181,"98030600000178","Oni Pudjiastuti","oni.pudjiastuti.178@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
182,"87102100000179","Mrs. Lurhur Hidayat","lurhur.hidayat.179@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
183,"75041100000180","Johan Permadi","johan.permadi.180@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
184,"77010300000181","Mr. Shania Simanjuntak","shania.simanjuntak.181@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
185,"68010500000182","Ir. Tri Oktaviani","tri.oktaviani.182@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
186,"96060700000183","Mrs. Cornelia Lestari","cornelia.lestari.183@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
187,"87050900000184","Mr. Soleh Kurniawan","soleh.kurniawan.184@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
188,"64091700000185","Mr. Puti Pradipta","puti.pradipta.185@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
189,"90021800000186","Tina Hidayat","tina.hidayat.186@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
190,"63020500000187","Jaya Widiastuti","jaya.widiastuti.187@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
191,"91042200000188","Mrs. Jayadi Hutagalung","jayadi.hutagalung.188@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
192,"84091800000189","Reksa Setiawan","reksa.setiawan.189@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
193,"78071500000190","Prof. Oni Hidayanto","oni.hidayanto.190@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
194,"64021900000191","Ir. Lili Irawan","lili.irawan.191@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
195,"85022000000192","Mr. Darmaji Suartini","darmaji.suartini.192@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
196,"61020200000193","Ir. Jaiman Mahendra","jaiman.mahendra.193@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
197,"97100400000194","Prof. Kenes Sudiati","kenes.sudiati.194@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
198,"96050700000195","Samiah Siregar","samiah.siregar.195@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
199,"99070500000196","Prof. Mursita Pradana","mursita.pradana.196@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
200,"91031000000197","Ir. Wadi Hardiansyah","wadi.hardiansyah.197@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
201,"64030800000198","Mr. Bagiya Maryati","bagiya.maryati.198@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
202,"97032800000199","Prof. Pia Suwarno","pia.suwarno.199@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
203,"76062600000200","Prof. Jessica Handayani","jessica.handayani.200@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
204,"64091200000201","Mrs. Melinda Palastri","melinda.palastri.201@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
205,"96030500000202","Mr. Eja Pradipta","eja.pradipta.202@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
206,"74030200000203","Mr. Kariman Maheswara","kariman.maheswara.203@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
207,"83120900000204","Ir. Hasta Mustofa","hasta.mustofa.204@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
208,"67022600000205","Okto Rajasa","okto.rajasa.205@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
209,"67090100000206","Uli Laksita","uli.laksita.206@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
210,"85122400000207","Mrs. Maryadi Hariyah","maryadi.hariyah.207@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
211,"75060400000208","Teddy Wasita","teddy.wasita.208@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
212,"78070700000209","Mrs. Jarwadi Wahyudin","jarwadi.wahyudin.209@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
213,"97072600000210","Bakianto Kusmawati","bakianto.kusmawati.210@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
